date,count,total
04/04/2017,3,273
04/05/2017,2,275
04/06/2017,5,280
04/07/2017,1,281
04/08/2017,1,282
04/09/2017,2,284
04/10/2017,2,286
04/12/2017,1,287
04/13/2017,3,290
04/14/2017,3,293
04/15/2017,4,297
04/16/2017,1,298
04/17/2017,1,299
04/18/2017,1,300
04/19/2017,1,301
04/20/2017,6,307
04/21/2017,1,308
04/22/2017,3,311
04/23/2017,1,312
04/24/2017,4,316
04/25/2017,4,320
04/26/2017,3,323
04/27/2017,2,325
04/28/2017,2,327
04/29/2017,4,331
04/30/2017,3,334
05/01/2017,1,335
05/02/2017,2,337
05/03/2017,5,342
05/04/2017,1,343
05/06/2017,1,344
05/07/2017,4,348
05/08/2017,2,350
05/09/2017,6,356
05/10/2017,3,359
05/11/2017,1,360
05/12/2017,4,364
05/13/2017,2,366
05/14/2017,2,368
05/15/2017,6,374
05/16/2017,3,377
05/17/2017,1,378
05/20/2017,3,381
05/21/2017,4,385
05/22/2017,1,386
05/23/2017,4,390
05/24/2017,2,392
05/25/2017,1,393
05/26/2017,3,396
05/27/2017,2,398
05/28/2017,3,401
05/29/2017,3,404
05/30/2017,1,405
05/31/2017,2,407
06/01/2017,1,408
06/02/2017,6,414
06/03/2017,1,415
06/04/2017,2,417
06/05/2017,4,421
06/06/2017,2,423
06/07/2017,4,427
06/08/2017,5,432
06/09/2017,3,435
06/10/2017,3,438
06/11/2017,1,439
06/12/2017,4,443
06/13/2017,4,447
06/14/2017,3,450
06/15/2017,1,451
06/16/2017,5,456
06/17/2017,2,458
06/18/2017,2,460
06/19/2017,2,462
06/20/2017,5,467
06/21/2017,2,469
06/22/2017,1,470
06/23/2017,2,472
06/24/2017,4,476
06/25/2017,4,480
06/26/2017,1,481
06/27/2017,1,482
06/28/2017,2,484
06/29/2017,4,488
06/30/2017,3,491
07/01/2017,3,494
07/02/2017,1,495
07/03/2017,4,499
07/04/2017,8,507
07/05/2017,6,513
07/06/2017,2,515
07/07/2017,3,518
07/08/2017,3,521
07/09/2017,4,525
07/10/2017,2,527
07/11/2017,5,532
07/12/2017,3,535
07/13/2017,3,538
07/15/2017,4,542
07/17/2017,4,546
07/18/2017,3,549
07/19/2017,3,552
07/20/2017,2,554
07/21/2017,3,557
07/23/2017,4,561
07/24/2017,1,562
07/25/2017,4,566
07/26/2017,4,570
07/27/2017,6,576
07/28/2017,3,579
07/29/2017,2,581
07/31/2017,4,585
08/01/2017,5,590
08/02/2017,4,594
08/03/2017,2,596
08/04/2017,6,602
08/05/2017,2,604
08/06/2017,2,606
08/07/2017,3,609
08/08/2017,2,611
08/09/2017,1,612
08/10/2017,2,614
08/11/2017,2,616
08/12/2017,1,617
08/13/2017,5,622
08/14/2017,2,624
08/15/2017,1,625
08/16/2017,2,627
08/17/2017,2,629
08/18/2017,3,632
08/19/2017,1,633
08/20/2017,3,636
08/21/2017,5,641
08/22/2017,5,646
08/23/2017,1,647
08/24/2017,3,650
08/25/2017,3,653
08/26/2017,1,654
08/27/2017,3,657
08/28/2017,2,659
08/29/2017,4,663
08/30/2017,2,665
08/31/2017,2,667
09/01/2017,3,670
09/02/2017,1,671
09/03/2017,4,675
09/04/2017,2,677
09/05/2017,3,680
09/06/2017,3,683
09/07/2017,1,684
09/08/2017,2,686
09/09/2017,1,687
09/10/2017,5,692
09/11/2017,3,695
09/13/2017,1,696
09/14/2017,1,697
09/15/2017,3,700
09/16/2017,1,701
09/17/2017,3,704
09/18/2017,1,705
09/19/2017,5,710
09/20/2017,3,713
09/21/2017,4,717
09/22/2017,6,723
09/24/2017,2,725
09/25/2017,2,727
09/26/2017,3,730
09/27/2017,3,733
09/28/2017,2,735
09/30/2017,2,737
10/01/2017,6,743
10/02/2017,2,745
10/03/2017,1,746
10/04/2017,4,750
10/05/2017,5,755
10/06/2017,5,760
10/07/2017,1,761
10/08/2017,6,767
10/10/2017,1,768
10/11/2017,3,771
10/12/2017,2,773
10/13/2017,2,775
10/14/2017,2,777
10/16/2017,5,782
10/17/2017,1,783
10/18/2017,1,784
10/19/2017,4,788
10/20/2017,3,791
10/21/2017,2,793
10/22/2017,4,797
10/23/2017,3,800
10/24/2017,3,803
10/25/2017,2,805
10/26/2017,3,808
