date,count,total
6/28/2016,2,1479
6/29/2016,4,1483
6/30/2016,3,1486
7/1/2016,3,1489
7/2/2016,2,1491
7/3/2016,3,1494
7/4/2016,3,1497
7/5/2016,4,1501
7/6/2016,2,1503
7/7/2016,3,1506
7/8/2016,1,1507
7/9/2016,1,1508
7/10/2016,1,1509
7/11/2016,5,1514
7/12/2016,1,1515
7/13/2016,2,1517
7/14/2016,1,1518
7/15/2016,1,1519
7/16/2016,3,1522
7/17/2016,4,1526
7/18/2016,1,1527
7/20/2016,1,1528
7/21/2016,2,1530
7/22/2016,1,1531
7/23/2016,3,1534
7/24/2016,2,1536
7/25/2016,2,1538
7/26/2016,2,1540
7/27/2016,6,1546
7/28/2016,6,1552
7/29/2016,2,1554
7/31/2016,3,1557
8/1/2016,4,1561
8/2/2016,5,1566
8/3/2016,3,1569
8/5/2016,4,1573
8/7/2016,2,1575
8/8/2016,5,1580
8/9/2016,3,1583
8/11/2016,3,1586
8/12/2016,2,1588
8/13/2016,4,1592
8/15/2016,2,1594
8/16/2016,7,1601
8/17/2016,1,1602
8/18/2016,7,1609
8/19/2016,5,1614
8/20/2016,1,1615
8/21/2016,1,1616
8/22/2016,1,1617
8/23/2016,1,1618
8/24/2016,3,1621
8/25/2016,3,1624
8/26/2016,1,1625
8/27/2016,3,1628
8/28/2016,1,1629
8/29/2016,4,1633
8/30/2016,4,1637
8/31/2016,2,1639
9/1/2016,4,1643
9/2/2016,4,1647
9/3/2016,4,1651
9/4/2016,2,1653
9/5/2016,2,1655
9/6/2016,5,1660
9/7/2016,3,1663
9/8/2016,2,1665
9/9/2016,3,1668
9/10/2016,2,1670
9/12/2016,3,1673
9/14/2016,1,1674
9/15/2016,3,1677
9/16/2016,4,1681
9/17/2016,5,1686
9/18/2016,1,1687
9/19/2016,3,1690
9/20/2016,6,1696
9/21/2016,1,1697
9/23/2016,3,1700
9/25/2016,1,1701
9/26/2016,4,1705
9/27/2016,2,1707
9/28/2016,2,1709
9/29/2016,1,1710
9/30/2016,6,1716
10/1/2016,2,1718
10/2/2016,2,1720
10/3/2016,2,1722
10/4/2016,3,1725
10/5/2016,2,1727
10/7/2016,5,1732
10/8/2016,4,1736
10/9/2016,2,1738
10/10/2016,4,1742
10/11/2016,2,1744
10/12/2016,3,1747
10/13/2016,3,1750
10/14/2016,3,1753
10/15/2016,1,1754
10/16/2016,2,1756
10/17/2016,3,1759
10/18/2016,4,1763
10/19/2016,3,1766
10/20/2016,1,1767
10/21/2016,2,1769
10/22/2016,1,1770
10/23/2016,3,1773
10/24/2016,1,1774
10/25/2016,4,1778
10/26/2016,2,1780
10/27/2016,3,1783
10/28/2016,3,1786
10/30/2016,4,1790
10/31/2016,3,1793
11/1/2016,1,1794
11/2/2016,2,1796
11/3/2016,3,1799
11/4/2016,2,1801
11/5/2016,5,1806
11/6/2016,6,1812
11/7/2016,1,1813
11/8/2016,4,1817
11/9/2016,1,1818
11/10/2016,2,1820
11/11/2016,4,1824
11/12/2016,2,1826
11/13/2016,3,1829
11/15/2016,3,1832
11/16/2016,2,1834
11/18/2016,5,1839
11/19/2016,4,1843
11/20/2016,2,1845
11/21/2016,2,1847
11/22/2016,4,1851
11/23/2016,2,1853
11/24/2016,1,1854
11/25/2016,3,1857
11/26/2016,1,1858
11/27/2016,4,1862
11/28/2016,3,1865
11/29/2016,4,1869
11/30/2016,1,1870
12/1/2016,3,1873
12/2/2016,3,1876
12/3/2016,1,1877
12/4/2016,2,1879
12/6/2016,4,1883
12/7/2016,5,1888
12/8/2016,1,1889
12/9/2016,3,1892
12/10/2016,2,1894
12/11/2016,5,1899
12/12/2016,3,1902
12/13/2016,2,1904
12/15/2016,1,1905
12/16/2016,1,1906
12/17/2016,3,1909
12/18/2016,3,1912
12/19/2016,1,1913
12/20/2016,3,1916
12/21/2016,8,1924
12/22/2016,1,1925
12/23/2016,3,1928
12/24/2016,4,1932
12/25/2016,3,1935
12/27/2016,4,1939
12/28/2016,1,1940
12/29/2016,1,1941
12/30/2016,3,1944
12/31/2016,3,1947
1/1/2017,6,1953
1/3/2017,2,1955
1/4/2017,4,1959
1/5/2017,2,1961
1/6/2017,2,1963
1/7/2017,6,1969
1/8/2017,1,1970
1/9/2017,2,1972
1/10/2017,2,1974
1/11/2017,3,1977
1/12/2017,3,1980
1/13/2017,1,1981
1/14/2017,2,1983
1/15/2017,4,1987
1/16/2017,3,1990
1/17/2017,2,1992
1/18/2017,6,1998
1/19/2017,3,2001
1/20/2017,1,2002
1/21/2017,2,2004
1/22/2017,3,2007
1/23/2017,5,2012
1/24/2017,8,2020
1/25/2017,3,2023
1/26/2017,4,2027
1/27/2017,1,2028
1/28/2017,4,2032
1/29/2017,2,2034
1/30/2017,4,2038
1/31/2017,1,2039
2/1/2017,2,2041
2/2/2017,3,2044
2/3/2017,7,2051
2/4/2017,3,2054
2/5/2017,3,2057
2/6/2017,3,2060
2/7/2017,5,2065
2/8/2017,3,2068
2/9/2017,4,2072
2/10/2017,8,2080
2/11/2017,4,2084
2/12/2017,3,2087
2/13/2017,3,2090
2/14/2017,3,2093
2/15/2017,3,2096
2/16/2017,4,2100
2/17/2017,4,2104
2/18/2017,2,2106
2/19/2017,4,2110
2/20/2017,2,2112
2/21/2017,5,2117
2/22/2017,3,2120
2/23/2017,4,2124
2/24/2017,3,2127
2/25/2017,2,2129
2/26/2017,4,2133
2/27/2017,2,2135
2/28/2017,3,2138
3/1/2017,1,2139
3/2/2017,5,2144
3/3/2017,2,2146
3/4/2017,4,2150
3/7/2017,2,2152
3/8/2017,3,2155
3/9/2017,2,2157
3/10/2017,1,2158
3/11/2017,2,2160
3/12/2017,2,2162
3/13/2017,3,2165
3/14/2017,5,2170
3/15/2017,2,2172
3/16/2017,5,2177
3/17/2017,3,2180
3/18/2017,3,2183
3/19/2017,5,2188
3/22/2017,3,2191
3/23/2017,3,2194
3/24/2017,3,2197
3/25/2017,1,2198
3/26/2017,4,2202
3/27/2017,3,2205
3/28/2017,2,2207
3/29/2017,6,2213
3/30/2017,1,2214
4/1/2017,2,2216
4/3/2017,1,2217
4/4/2017,3,2220
4/5/2017,2,2222
4/6/2017,5,2227
4/7/2017,1,2228
4/8/2017,1,2229
4/9/2017,2,2231
4/10/2017,2,2233
4/12/2017,1,2234
4/13/2017,3,2237
4/14/2017,3,2240
4/15/2017,4,2244
4/16/2017,1,2245
4/17/2017,1,2246
4/18/2017,1,2247
4/19/2017,1,2248
4/20/2017,6,2254
4/21/2017,1,2255
4/22/2017,3,2258
4/23/2017,1,2259
4/24/2017,4,2263
4/25/2017,4,2267
4/26/2017,3,2270
4/27/2017,2,2272
4/28/2017,2,2274
4/29/2017,4,2278
4/30/2017,3,2281
5/1/2017,1,2282
5/2/2017,2,2284
5/3/2017,5,2289
5/4/2017,1,2290
5/6/2017,1,2291
5/7/2017,4,2295
5/8/2017,2,2297
5/9/2017,6,2303
5/10/2017,3,2306
5/11/2017,1,2307
5/12/2017,4,2311
5/13/2017,2,2313
5/14/2017,2,2315
5/15/2017,6,2321
5/16/2017,3,2324
5/17/2017,1,2325
5/20/2017,3,2328
5/21/2017,4,2332
5/22/2017,1,2333
5/23/2017,4,2337
5/24/2017,2,2339
5/25/2017,1,2340
5/26/2017,3,2343
5/27/2017,2,2345
5/28/2017,3,2348
5/29/2017,3,2351
5/30/2017,1,2352
5/31/2017,2,2354
6/1/2017,1,2355
6/2/2017,6,2361
6/3/2017,1,2362
6/4/2017,2,2364
6/5/2017,4,2368
6/6/2017,2,2370
6/7/2017,4,2374
6/8/2017,5,2379
6/9/2017,3,2382
6/10/2017,3,2385
6/11/2017,1,2386
6/12/2017,4,2390
6/13/2017,4,2394
6/14/2017,3,2397
6/15/2017,1,2398
6/16/2017,5,2403
6/17/2017,2,2405
6/18/2017,2,2407
6/19/2017,2,2409
6/20/2017,5,2414
6/21/2017,2,2416
6/22/2017,1,2417
6/23/2017,2,2419
6/24/2017,4,2423
6/25/2017,4,2427
6/26/2017,1,2428
6/27/2017,1,2429
6/28/2017,2,2431
6/29/2017,4,2435
6/30/2017,3,2438
7/1/2017,3,2441
7/2/2017,1,2442
7/3/2017,4,2446
7/4/2017,8,2454
7/5/2017,6,2460
7/6/2017,2,2462
7/7/2017,3,2465
7/8/2017,3,2468
7/9/2017,4,2472
7/10/2017,2,2474
7/11/2017,5,2479
7/12/2017,3,2482
7/13/2017,3,2485
7/15/2017,4,2489
7/17/2017,4,2493
7/18/2017,3,2496
7/19/2017,3,2499
7/20/2017,2,2501
7/21/2017,3,2504
7/23/2017,4,2508
7/24/2017,1,2509
7/25/2017,4,2513
7/26/2017,4,2517
7/27/2017,6,2523
7/28/2017,3,2526
7/29/2017,2,2528
7/31/2017,4,2532
8/1/2017,5,2537
8/2/2017,4,2541
8/3/2017,2,2543
8/4/2017,6,2549
8/5/2017,2,2551
8/6/2017,2,2553
8/7/2017,3,2556
8/8/2017,2,2558
8/9/2017,1,2559
8/10/2017,2,2561
8/11/2017,2,2563
8/12/2017,1,2564
8/13/2017,5,2569
8/14/2017,2,2571
8/15/2017,1,2572
8/16/2017,2,2574
8/17/2017,2,2576
8/18/2017,3,2579
8/19/2017,1,2580
8/20/2017,3,2583
8/21/2017,5,2588
8/22/2017,5,2593
8/23/2017,1,2594
8/24/2017,3,2597
8/25/2017,3,2600
8/26/2017,1,2601
8/27/2017,3,2604
8/28/2017,2,2606
8/29/2017,4,2610
8/30/2017,2,2612
8/31/2017,2,2614
9/1/2017,3,2617
9/2/2017,1,2618
9/3/2017,4,2622
9/4/2017,2,2624
9/5/2017,3,2627
9/6/2017,3,2630
9/7/2017,1,2631
9/8/2017,2,2633
9/9/2017,1,2634
9/10/2017,5,2639
9/11/2017,3,2642
9/13/2017,1,2643
9/14/2017,1,2644
9/15/2017,3,2647
9/16/2017,1,2648
9/17/2017,3,2651
9/18/2017,1,2652
9/19/2017,5,2657
9/20/2017,3,2660
9/21/2017,4,2664
9/22/2017,6,2670
9/24/2017,2,2672
9/25/2017,2,2674
9/26/2017,3,2677
9/27/2017,3,2680
9/28/2017,2,2682
9/30/2017,2,2684
10/1/2017,6,2690
10/2/2017,2,2692
10/3/2017,1,2693
10/4/2017,4,2697
10/5/2017,5,2702
10/6/2017,5,2707
10/7/2017,1,2708
10/8/2017,6,2714
10/10/2017,1,2715
10/11/2017,3,2718
10/12/2017,2,2720
10/13/2017,2,2722
10/14/2017,2,2724
10/16/2017,5,2729
10/17/2017,1,2730
10/18/2017,1,2731
10/19/2017,4,2735
10/20/2017,3,2738
10/21/2017,2,2740
10/22/2017,4,2744
10/23/2017,3,2747
10/24/2017,3,2750
10/25/2017,2,2752
10/26/2017,3,2755
10/27/2017,1,2756
10/28/2017,3,2759
10/29/2017,4,2763
10/30/2017,1,2764
10/31/2017,5,2769
11/1/2017,2,2771
11/2/2017,3,2774
11/3/2017,4,2778
11/4/2017,6,2784
11/5/2017,3,2787
11/6/2017,2,2789
11/7/2017,2,2791
11/8/2017,4,2795
11/9/2017,5,2800
11/10/2017,6,2806
11/11/2017,3,2809
11/12/2017,1,2810
11/13/2017,2,2812
11/14/2017,3,2815
11/15/2017,5,2820
11/16/2017,1,2821
11/17/2017,5,2826
11/18/2017,3,2829
11/19/2017,3,2832
11/20/2017,1,2833
11/23/2017,5,2838
11/24/2017,2,2840
11/25/2017,1,2841
11/26/2017,3,2844
11/27/2017,2,2846
11/28/2017,3,2849
11/29/2017,2,2851
11/30/2017,2,2853
12/1/2017,2,2855
12/2/2017,2,2857
12/3/2017,1,2858
12/4/2017,1,2859
12/5/2017,2,2861
12/6/2017,3,2864
12/7/2017,4,2868
12/8/2017,1,2869
12/9/2017,2,2871
12/10/2017,4,2875
12/11/2017,2,2877
12/12/2017,1,2878
12/13/2017,2,2880
12/14/2017,1,2881
12/15/2017,4,2885
12/17/2017,4,2889
12/18/2017,1,2890
12/19/2017,3,2893
12/20/2017,4,2897
12/21/2017,3,2900
12/22/2017,3,2903
12/23/2017,2,2905
12/24/2017,3,2908
12/25/2017,3,2911
12/26/2017,8,2919
12/27/2017,3,2922
12/28/2017,3,2925
12/29/2017,1,2926
12/30/2017,3,2929
12/31/2017,2,2931
1/1/2018,3,2934
1/2/2018,3,2937
1/3/2018,1,2938
1/4/2018,2,2940
1/5/2018,3,2943
1/6/2018,9,2952
1/7/2018,5,2957
1/8/2018,5,2962
1/9/2018,1,2963
1/10/2018,1,2964
1/11/2018,3,2967
1/12/2018,7,2974
1/13/2018,1,2975
1/14/2018,1,2976
1/15/2018,1,2977
1/16/2018,4,2981
1/17/2018,6,2987
1/18/2018,1,2988
1/19/2018,1,2989
1/20/2018,5,2994
1/21/2018,2,2996
1/22/2018,7,3003
1/23/2018,4,3007
1/24/2018,2,3009
1/25/2018,4,3013
1/26/2018,4,3017
1/27/2018,3,3020
1/28/2018,4,3024
1/29/2018,3,3027
1/30/2018,1,3028
1/31/2018,2,3030
